"Energy consumed for building sector, and per end use (TJ)"
t_periods,Fuel,Sub,EndUse,VFlow_In
2019,Electricity,Commercial,Space Heating,1946.6130790444906
2019,Electricity,Commercial,Street Lighting,502.3144968538424
2019,Electricity,Commercial,Water Heating,154.0839740906925
2019,Electricity,Industry,Industrial Processes,2674.7644695251774
2019,Electricity,Industry,Lighting,651.7889069483487
2019,Electricity,Industry,Space Cooling,367.8714061751919
2019,Electricity,Industry,Space Heating,758.1820542216567
2019,Electricity,Industry,Water Heating,1011.110144466124
2019,Electricity,Public,Auxiliary Equipment,2047.2052204728313
2019,Electricity,Public,Auxiliary Motors,543.9189462779431
2019,Electricity,Public,Lighting,1985.3109888422546
2019,Electricity,Public,Space Cooling,1242.3956858619435
2019,Electricity,Public,Space Heating,787.5700690906542
2019,Electricity,Public,Water Heating,31.995041918863688
2019,Electricity,Residential,Other Appliances,5971.85034362182
2019,Electricity,Residential,Clothe Dryer,2040.1421744968554
2019,Electricity,Residential,Clothe Washer,113.02529491438293
2019,Electricity,Residential,Dish Washer,148.06001493040898
2019,Electricity,Residential,Freezer,520.5870585150325
2019,Electricity,Residential,Lighting,2485.812272613434
2019,Electricity,Residential,Range,1900.4032516308853
2019,Electricity,Residential,Refrigerator,1602.8944268212367
2019,Electricity,Residential,Space Cooling,3315.965207240145
2019,Electricity,Residential,Space Heating,4164.287795825961
2019,Electricity,Residential,Water Heating,720.2806006357665
2019,Heavy Fuel Oil,Commercial,Space Heating,6.4099175837769655
2019,Heavy Fuel Oil,Commercial,Water Heating,37.332588058147316
2019,Heavy Fuel Oil,Industry,Industrial Processes,42.72303001098605
2019,Heavy Fuel Oil,Industry,Space Heating,25.442433759465487
2019,Heavy Fuel Oil,Industry,Water Heating,60.873938218306776
2019,Heavy Fuel Oil,Public,Space Heating,0.0030421538621827923
2019,Heavy Fuel Oil,Public,Water Heating,0.8924555667161033
2019,Hydrogen,Residential,Space Heating,0.8849399864778844
2019,Hydrogen,Residential,Water Heating,0.6223459872886664
2019,Kerosene,Commercial,Space Heating,6.409545568071859
2019,Kerosene,Commercial,Water Heating,37.33388257933539
2019,Kerosene,Public,Space Heating,0.0030424251713582315
2019,Kerosene,Public,Water Heating,0.8924828303655602
2019,Kerosene,Residential,Space Heating,0.6411431402791443
2019,Kerosene,Residential,Water Heating,329.5401657893026
2019,Light Fuel Oil,Commercial,Space Heating,199.0084596921086
2019,Light Fuel Oil,Commercial,Water Heating,243.5914990494274
2019,Light Fuel Oil,Industry,Industrial Processes,480.3372633897055
2019,Light Fuel Oil,Industry,Space Heating,24.83118992147701
2019,Light Fuel Oil,Industry,Water Heating,44.42286483326973
2019,Light Fuel Oil,Public,Space Heating,344.18451950500764
2019,Light Fuel Oil,Public,Water Heating,64.74467542543891
2019,Light Fuel Oil,Residential,Space Heating,786.9460939259905
2019,Light Fuel Oil,Residential,Water Heating,373.5650317584886
2019,Mix Energy,Industry,Industrial Processes,15317.039313286803
2019,Natural Gas,Commercial,Auxiliary Equipment,2676.9425471299414
2019,Natural Gas,Commercial,Space Cooling,124.17925103210236
2019,Natural Gas,Commercial,Space Heating,36091.85176809811
2019,Natural Gas,Commercial,Water Heating,5769.865109385822
2019,Natural Gas,Industry,Industrial Processes,11697.519523952202
2019,Natural Gas,Industry,Space Cooling,30.312108074230814
2019,Natural Gas,Industry,Space Heating,733.9010407384259
2019,Natural Gas,Industry,Water Heating,2880.21930237147
2019,Natural Gas,Public,Auxiliary Equipment,386.197332005076
2019,Natural Gas,Public,Space Cooling,161.82721654931674
2019,Natural Gas,Public,Space Heating,7314.463411727386
2019,Natural Gas,Public,Water Heating,900.9460342878389
2019,Natural Gas,Residential,Clothe Dryer,92.6051322875811
2019,Natural Gas,Residential,Range,94.24201866690807
2019,Natural Gas,Residential,Space Heating,58637.845037735955
2019,Natural Gas,Residential,Water Heating,18028.43723725611
2019,Pet Coke,Industry,Industrial Processes,237.77648077157886
2019,Propane,Commercial,Auxiliary Equipment,1960.3926624002215
2019,Propane,Commercial,Space Heating,1083.66191634323
2019,Propane,Commercial,Water Heating,115.60258051994492
2019,Propane,Industry,Space Heating,21.93665803995135
2019,Propane,Industry,Water Heating,96.6080857514886
2019,Propane,Public,Auxiliary Equipment,0.016184800467405825
2019,Propane,Public,Space Heating,0.003279869904816264
2019,Propane,Residential,Space Heating,0.8866159649534219
2019,Propane,Residential,Water Heating,564.7854402019474
2019,Synthetic Gas,Commercial,Auxiliary Equipment,2.183292078514659
2019,Synthetic Gas,Commercial,Space Cooling,0.9849735442433346
2019,Synthetic Gas,Commercial,Space Heating,5.94502680583166
2019,Synthetic Gas,Commercial,Water Heating,3.8238338276497745
2019,Synthetic Gas,Public,Auxiliary Equipment,0.44864428806808127
2019,Synthetic Gas,Public,Space Cooling,0.8523923305925748
2019,Synthetic Gas,Public,Space Heating,1.3526954443243577
2019,Synthetic Gas,Public,Water Heating,1.5834142321473743
