"Building end use energy service, per subsector, per end use, per type of technology, per energy, and per period."
t_periods,Sub,NewOld,EndUse,Tech_type_1,Tech_type_2,Energy_cat,Efficiency,Output_units,VFlow_Out
2017,Commercial,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,2828.1287433622488
2017,Commercial,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,9082.42789270505
2017,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,41.89391921804378
2017,Commercial,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,54.9310143663923
2017,Commercial,Old,Space Cooling,___,___,District Cooling,___,TJ,1289.9928702002785
2017,Commercial,Old,Space Cooling,___,___,Electricity,Standard,TJ,9399.261436351391
2017,Commercial,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,436.99633251426167
2017,Commercial,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,1.3813029173160785
2017,Commercial,Old,Space Heating,Furnace,___,Heavy Fuel Oil,Standard,TJ,2.4739328663499465
2017,Commercial,Old,Space Heating,Furnace,___,Kerosene,Standard,TJ,2.4740423163029046
2017,Commercial,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,161.7914640045848
2017,Commercial,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,5.86563537100302
2017,Commercial,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,30063.082147371937
2017,Commercial,Old,Space Heating,Furnace,___,Propane,Standard,TJ,652.3780587573115
2017,Commercial,Old,Space Heating,Heat Pump,___,Electricity,Standard,TJ,455.7763905919403
2017,Commercial,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,1436.693306109603
2017,Commercial,Old,Space Heating,___,___,District Heating,___,TJ,2820.3026526880576
2017,Commercial,Old,Street Lighting,Light Emitting Diode,___,Electricity,Standard,TJ,1463.722342500225
2017,Commercial,Old,Water Heating,___,___,District Heating,___,TJ,452.49554405808163
2017,Commercial,Old,Water Heating,___,___,Electricity,Standard,TJ,244.56712021682628
2017,Commercial,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,5.040533520606226
2017,Commercial,Old,Water Heating,___,___,Kerosene,Standard,TJ,5.040690040920893
2017,Commercial,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,187.9009936450502
2017,Commercial,Old,Water Heating,___,___,Natural Gas,Standard,TJ,4924.597274156166
2017,Commercial,Old,Water Heating,___,___,Propane,Standard,TJ,69.63846953635955
2017,Industry,,Industrial Processes,Self produced,,Mix Energy,,TJ,30563.234632200794
2017,Industry,,Lighting,Self produced,,Mix Energy,,TJ,650.281587918987
2017,Industry,,Space Cooling,Self produced,,Mix Energy,,TJ,1408.9434404911428
2017,Industry,,Space Heating,Self produced,,Mix Energy,,TJ,1560.6758110105995
2017,Industry,,Water Heating,Self produced,,Mix Energy,,TJ,4083.7683721366498
2017,Public,Old,Auxiliary Equipment,___,___,Electricity,Standard,TJ,2026.077514199528
2017,Public,Old,Auxiliary Equipment,___,___,Natural Gas,Standard,TJ,250.35416220235112
2017,Public,Old,Auxiliary Motors,___,___,Electricity,Standard,TJ,511.1520526911352
2017,Public,Old,Lighting,Fluocompact,___,Electricity,Standard,Mlm.y,86.09727874609233
2017,Public,Old,Lighting,Fluorescent,___,Electricity,Standard,Mlm.y,633.5330834893189
2017,Public,Old,Lighting,Halogen,___,Electricity,Standard,Mlm.y,185.5077921634424
2017,Public,Old,Lighting,Incandescent,___,Electricity,Standard,Mlm.y,595.3779015246117
2017,Public,Old,Lighting,Light Emitting Diode,___,Electricity,High,Mlm.y,2.764152115012892
2017,Public,Old,Lighting,Light Emitting Diode,___,Electricity,Standard,Mlm.y,3.5793123081096074
2017,Public,Old,Space Cooling,___,___,District Cooling,___,TJ,246.24859450662436
2017,Public,Old,Space Cooling,___,___,Electricity,Standard,TJ,4183.817166880971
2017,Public,Old,Space Cooling,___,___,Natural Gas,Standard,TJ,551.3388244855659
2017,Public,Old,Space Heating,Furnace,___,Electricity,Standard,TJ,289.722265804532
2017,Public,Old,Space Heating,Furnace,___,Light Fuel Oil,Standard,TJ,268.86194041503313
2017,Public,Old,Space Heating,Furnace,___,Natural Gas,High,TJ,0.005094996434001347
2017,Public,Old,Space Heating,Furnace,___,Natural Gas,Standard,TJ,5834.396606978148
2017,Public,Old,Space Heating,Plinthe,___,Electricity,Standard,TJ,495.2645301180286
2017,Public,Old,Space Heating,___,___,District Heating,___,TJ,1495.7761051705859
2017,Public,Old,Water Heating,___,___,District Heating,___,TJ,301.39003475093773
2017,Public,Old,Water Heating,___,___,Electricity,Standard,TJ,9.948141816023597
2017,Public,Old,Water Heating,___,___,Heavy Fuel Oil,Standard,TJ,0.40044593579813526
2017,Public,Old,Water Heating,___,___,Kerosene,Standard,TJ,0.40044516750491005
2017,Public,Old,Water Heating,___,___,Light Fuel Oil,Standard,TJ,18.07116558455695
2017,Public,Old,Water Heating,___,___,Natural Gas,Standard,TJ,869.4754689065496
2017,Residential,Old,Other Appliances,Other,___,Electricity,Standard,TJ,3633.1511226370963
