GHG emissions by building type (metric ton)
t_periods,emissions_comm,Sub,Archetype,NewOld,Emisions
2018,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.825213127573638
2018,CH4,Commercial,Accommodation and Food Services,Old,2.1296801804319863
2018,CH4,Commercial,Educational Services,Old,5.334507740677549
2018,CH4,Commercial,Health Care and Social Assistance,Old,3.382470600881463
2018,CH4,Commercial,Information and Cultural Industries,Old,0.2764067657761967
2018,CH4,Commercial,Offices,Old,18.661532716736044
2018,CH4,Commercial,Other Services,Old,2.212455722547044
2018,CH4,Commercial,Retail Trade,Old,6.7878759618844935
2018,CH4,Commercial,Transportation and Warehousing,Old,1.1946962341279392
2018,CH4,Commercial,Wholesale Trade,Old,4.242384331489557
2018,CH4,Industry,,,16.35127962516001
2018,CH4,Public,Hospital,Old,1.7046222887800189
2018,CH4,Public,Municipality,Old,1.5216463996441192
2018,CH4,Public,Post-Secondary Institution,Old,2.753228354585119
2018,CH4,Public,School board,Old,2.839666392942308
2018,CH4,Residential,Apartments,Old,422.9376119241715
2018,CH4,Residential,Single Attached,Old,183.50497886605712
2018,CH4,Residential,Single Detached,Old,367.27484506161323
2018,CO2,Commercial,"Arts, Entertainment and Recreation",Old,92348.47056491833
2018,CO2,Commercial,Accommodation and Food Services,Old,108037.72735452335
2018,CO2,Commercial,Educational Services,Old,274917.0936926098
2018,CO2,Commercial,Health Care and Social Assistance,Old,173033.33852001608
2018,CO2,Commercial,Information and Cultural Industries,Old,13443.828028498167
2018,CO2,Commercial,Offices,Old,972919.8173722662
2018,CO2,Commercial,Other Services,Old,112273.27200686542
2018,CO2,Commercial,Retail Trade,Old,349437.0256458785
2018,CO2,Commercial,Transportation and Warehousing,Old,60449.53682854513
2018,CO2,Commercial,Wholesale Trade,Old,216713.83549597053
2018,CO2,Industry,,,824272.9366551319
2018,CO2,Public,Hospital,Old,94854.3769748444
2018,CO2,Public,Municipality,Old,75643.97531980435
2018,CO2,Public,Post-Secondary Institution,Old,141570.19244502977
2018,CO2,Public,School board,Old,141768.86116612927
2018,CO2,Residential,Apartments,Old,1427454.8435835706
2018,CO2,Residential,Single Attached,Old,726894.429316902
2018,CO2,Residential,Single Detached,Old,1639840.6470761618
2018,CO2e,Commercial,"Arts, Entertainment and Recreation",Old,92977.85532764663
2018,CO2e,Commercial,Accommodation and Food Services,Old,108778.91159174316
2018,CO2e,Commercial,Educational Services,Old,276791.5740006571
2018,CO2e,Commercial,Health Care and Social Assistance,Old,174239.49067550054
2018,CO2e,Commercial,Information and Cultural Industries,Old,13540.034187868789
2018,CO2e,Commercial,Offices,Old,980433.6888250682
2018,CO2e,Commercial,Other Services,Old,113020.5455428916
2018,CO2e,Commercial,Retail Trade,Old,351774.20451455534
2018,CO2e,Commercial,Transportation and Warehousing,Old,60873.85606695687
2018,CO2e,Commercial,Wholesale Trade,Old,218210.0429993668
2018,CO2e,Industry,,,829206.8620175553
2018,CO2e,Public,Hospital,Old,95383.82879375189
2018,CO2e,Public,Municipality,Old,76104.8878160331
2018,CO2e,Public,Post-Secondary Institution,Old,142411.0298176282
2018,CO2e,Public,School board,Old,142628.99733304285
2018,CO2e,Residential,Apartments,Old,1445608.1132163173
2018,CO2e,Residential,Single Attached,Old,735352.2410059955
2018,CO2e,Residential,Single Detached,Old,1657750.457475011
2018,N2O,Commercial,"Arts, Entertainment and Recreation",Old,1.9834070035208977
2018,N2O,Commercial,Accommodation and Food Services,Old,2.337117293391632
2018,N2O,Commercial,Educational Services,Old,5.914280689573744
2018,N2O,Commercial,Health Care and Social Assistance,Old,3.809128432436143
2018,N2O,Commercial,Information and Cultural Industries,Old,0.30336113184334434
2018,N2O,Commercial,Offices,Old,23.899259281040468
2018,N2O,Commercial,Other Services,Old,2.351718006216979
2018,N2O,Commercial,Retail Trade,Old,7.36454185730607
2018,N2O,Commercial,Transportation and Warehousing,Old,1.339700058708216
2018,N2O,Commercial,Wholesale Trade,Old,4.721870578640689
2018,N2O,Industry,,,15.40452513521578
2018,N2O,Public,Hospital,Old,1.6565595665873878
2018,N2O,Public,Municipality,Old,1.4394561135443826
2018,N2O,Public,Post-Secondary Institution,Old,2.6275824736647433
2018,N2O,Public,School board,Old,2.686252257254315
2018,N2O,Residential,Apartments,Old,31.11268383334885
2018,N2O,Residential,Single Attached,Old,15.450359506395918
2018,N2O,Residential,Single Detached,Old,34.21825051192818
2019,CH4,Commercial,"Arts, Entertainment and Recreation",Old,1.8441780160933818
2019,CH4,Commercial,Accommodation and Food Services,Old,2.14909208644463
2019,CH4,Commercial,Educational Services,Old,5.3695192641794875
2019,CH4,Commercial,Health Care and Social Assistance,Old,3.4177634015206855
2019,CH4,Commercial,Information and Cultural Industries,Old,0.27911571371002125
2019,CH4,Commercial,Offices,Old,18.7311660681049
2019,CH4,Commercial,Other Services,Old,2.2395211599025986
2019,CH4,Commercial,Retail Trade,Old,6.827373248971115
2019,CH4,Commercial,Transportation and Warehousing,Old,1.2135891231251066
2019,CH4,Commercial,Wholesale Trade,Old,4.273873047253454
2019,CH4,Industry,,,16.37020839355588
2019,CH4,Public,Hospital,Old,1.7140634321404948
2019,CH4,Public,Municipality,Old,1.5463610704304598
2019,CH4,Public,Post-Secondary Institution,Old,2.7642576865097856
2019,CH4,Public,School board,Old,2.8644871218918655
2019,CH4,Residential,Apartments,Old,475.69560610467244
2019,CH4,Residential,Single Attached,Old,185.43227302386836
2019,CH4,Residential,Single Detached,Old,368.98822976729014
2019,CO2,Commercial,"Arts, Entertainment and Recreation",Old,93247.4063957026
2019,CO2,Commercial,Accommodation and Food Services,Old,108978.714509687
2019,CO2,Commercial,Educational Services,Old,276624.1224418807
2019,CO2,Commercial,Health Care and Social Assistance,Old,174691.76748463645
